spec,label,method,rural_beta,rural_se,rural_t,rural_p,rsq,n,fe_year,fe_qalicb,fe_state,fe_cde
M0,Raw,ols,-0.2622589249670859,0.05973118400636097,-4.390653380303949,1.1301056601144659e-05,0.002033042721525158,8024,False,False,False,False
M1,+ year,ols,-0.24923514381674014,0.0605765035653121,-4.114386422914306,3.8821064217241e-05,0.015463589747546802,8024,True,False,False,False
M2,+ QALICB type,ols,-0.1856368063298602,0.06087817663426129,-3.04931613581519,0.002293629819344517,0.022387920035136566,8024,True,True,False,False
M3,+ state,ols,-0.17200578105954856,0.0674334200333282,-2.5507497762168474,0.010749146937033868,0.038704103586657324,8024,True,True,True,False
M4,+ CDE (workhorse),ols,-0.04669406877349855,0.10112753588507645,-0.461734465937771,0.6442717516728405,0.13137374310871164,8024,True,True,False,True
M4-Q,"+ CDE, median",quantreg,-0.0006540859509769348,0.007627791282228945,-0.08575037344044918,0.9316670996423299,,8024,True,True,False,True
M5,interaction,ols,0.0912186393448009,0.6206230219179787,0.14697914212543717,0.8831484836792655,0.1318047791404633,8024,True,True,False,True
