metro,n_projects,qlici_total_m,project_cost_total_m,leverage_mean,leverage_median,mobilization_ratio
metro,6463,53565.83,97150.95,1.99,1.19,0.814
non_metro,1561,13045.37,23751.26,1.73,1.07,0.821
